category,yr,pilots
advanced,2006,74
advanced,2007,71
advanced,2008,76
advanced,2009,80
advanced,2010,82
advanced,2011,75
advanced,2012,83
advanced,2013,75
advanced,2014,65
advanced,2015,72
advanced,2016,66
advanced,2017,58
advanced,2018,60
four minute,2006,14
four minute,2007,7
four minute,2008,13
four minute,2009,8
four minute,2010,12
four minute,2011,10
four minute,2012,11
four minute,2013,8
four minute,2014,11
four minute,2015,9
four minute,2016,7
four minute,2017,7
four minute,2018,8
intermediate,2006,117
intermediate,2007,119
intermediate,2008,104
intermediate,2009,122
intermediate,2010,109
intermediate,2011,115
intermediate,2012,117
intermediate,2013,93
intermediate,2014,102
intermediate,2015,107
intermediate,2016,116
intermediate,2017,125
intermediate,2018,104
primary,2006,71
primary,2007,85
primary,2008,92
primary,2009,80
primary,2010,118
primary,2011,87
primary,2012,84
primary,2013,82
primary,2014,82
primary,2015,90
primary,2016,87
primary,2017,72
primary,2018,58
sportsman,2006,215
sportsman,2007,185
sportsman,2008,196
sportsman,2009,186
sportsman,2010,212
sportsman,2011,172
sportsman,2012,147
sportsman,2013,171
sportsman,2014,161
sportsman,2015,191
sportsman,2016,182
sportsman,2017,181
sportsman,2018,151
unlimited,2006,47
unlimited,2007,37
unlimited,2008,48
unlimited,2009,39
unlimited,2010,45
unlimited,2011,32
unlimited,2012,30
unlimited,2013,38
unlimited,2014,24
unlimited,2015,21
unlimited,2016,20
unlimited,2017,23
unlimited,2018,25
