id,name,addressLine1,addressLine2,city,state,zip,contact,phone,fax,email,web,aircraft,course,notes,airport,country,instructors
1,ACRO Air,2889 Elkwood Section Rd,,Hazel Green,AL,35750,Aaron Komara,1-256-829-8299,256-217-0715,Akomara2@yahoo.com,www.flyacroair.com,"8KCAB, 7GCAA, N2S-3","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics","Tailwheel,Aerobatics,Private pilot course in our Citabria, SOLO Stearman rental, as well as all other aircraft!","3M5 -- Huntsville, AL",USA,"Aaron Komara: CFI, Rick Stroud: CFI"
2,Greg Koontz Aerobatics at Sky Country Lodge,2546 Slasham Road,,Ashville,AL,35953,Greg Koontz,205-616-8176,205-594-4207,greg@gkairshows.com,www.gkairshows.com,"New Super Decathlon, Clipped-Wing Cub, J-3 Cub, Customers Aircraft (We have experience in most types)","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics",: Bed & Breakfast Accomodations on our remote private airstrip. Primary & Sportsman Compitition. CFI Spin Certification. Airshow Waivers. Group Clinics at your site. BEGINNERS ARE OUR SPECIALTY. Teaching acro since 1974.,"AL60 -- Ashville, AL",USA,"Greg Koontz: MCFI-A, ACE"
3,Air Orlando,319 North Crystal Lake Drive,,Orlando,FL,32803,Bryan Iadeluca,407-896-0721,407-896-7551,bryanI@flyairorlando.com,www.flyairorlando.com,Super Decathlon 8KCAB,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics","Primary, Sportsman.  CFI Spin endorsement. Customer designed program.","ORL -- Orlando, FL",USA,Bryan Iadeluca: CFI
4,"Dylan Aviation, Inc.",23101 SW Cardamine St.,,Indiantown,FL,34956,Jim Alsip,772-485-6761,,jim@dylanaviation.com,www.dylanaviation.com,Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",Five star venue makes Dylan Aviation a best choice: Location - Country airport in S. Florida; Instruction from a Master CFI-Aerobatic;  Fly a Super Decathlon - a great training aircraft; Proven training syllabus; Overnight accommodations at County Inn.,"X58 -- Indiantown, FL",USA,Jim Alsip: MCFI-A
5,New Attitude Aerobatics,5021 Yates Court,,Broomfield,CO,80020,John Blum,303-469-7746,,JohnnyBlum@aol.com,www.flyaerobatics.com,"Pitts S-2B, Citabria 7KCAB","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics","Primary - Intermediate.  Customer designed course.  Aircraft ferrying, fabric recover.","BJC -- Denver, CO",USA,John Blum: CFI
6,APS Emergency Maneuver Training,Phoenix-Mesa Gateway Airport,5865 S. Sossaman Road,Mesa,AZ,85212,Paul BJ Ransbury,866-359-4273,,info@apstraining.com,www.apstraining.com,3 Extra 300Ls,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",CFI Spin Endorsement.  Instrument Recovery Training.,"IWA -- Mesa, AZ",USA,"Paul BJ Ransbury: MCFI-A, Dave Dunteman: CFI, Philip Oppenheimer: CFI, Bill Moffat, Eric Nedergaard: CFI, Clarke McNeace: MCFI-A, Dede Fuller: CFI, Brian Willet: MCFI-A"
7,"Chandler Air Service, Inc.",1675 E. Ryan Road,,Chandler,AZ,85286,John Walker,480-963-6420,480-963-7639,fly@aerobatics.com,www.aerobatics.com,Great Lakes 2T-1A-2 (4)--Piper Super Cub (4)--Pitts S2C,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout","FAA and Approved for Tailwheel and Acro, Cubs and Lakes can be rented to qualified pilots, may be conbined with Flight reviews and other training programs.","KCHD -- Chandler, AZ",USA,"Curt Langenhorst, John Walkup: CFI, Steve Smith: CFI, Matt Lehti: CFI, Justin Kelly: CFI, Lary Leadford: CFI, Greg Stafford: CFI"
11,"Warbird Adventures, Inc.",233 N. Hoagland Blvd.,,Kissimmee,FL,34741,Susan DuVernois,407-870-7366,407-870-2295,fly@warbirdadventures.com,www.warbirdadventures.com,T-6 (3),"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics",Five & 10 hour courses. Instruction by the hour. Formation flying. Aviation museum on field.,"ISM -- Kissimmee, FL",USA,"Thom Richard: CFI, Graham Meise: CFI, Chuck Gardner: CFI, Sean Sweeney: CFI, Jim Harley: CFI, Steve McDevitt: CFI, John Sausedo: CFI"
12,Skybound Aviation,2000 Airport Road,Suite 125,Atlanta,GA,30341,Evanthe Papastathis,678-691-3283,678-691-3472,skybndco@skybnd.com,www.skybnd.com,1980 Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",Custom designed.  Basic aerobatics.,"PDK -- Atlanta, GA",USA,"Michael O'Neal: CFI, Jeff Clark: CFI"
13,"American Air Flight Training, Inc.","2000 Airport Road, Suite 109",Dekalb-Peachtree Airport,Atlanta,GA,30341,Steve Shaner,770-455-4203,770-454-7743,steve@fly-aaft.com,www.fly-aaft.com,American Champion Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",40 years instructing experience. 32 years a former FAA-Designated Pilot Examiner.,"KPDK -- Atlanta, GA",USA,Steve Shaner: CFI
14,Stearman Adventures LLC,4849 Spartan Dr,,Denton,TX,76207,Blake Nutt,940-536-4663,940-382-6573,info@stearmanadventures.com,,"Super Decathlon, Stearman","Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,". -- Denton, TX",USA,"Blake Nutt: CFI, David Fleming: CFI"
15,Executive Flyers Aviation,200 Hanscom Drive,Civil Air Terminal,Bedford,MA,01730,Rob Dumovic,781-274-7227,781.274.6719,efarob@gmail.com,www.executiveflyers.com,8KCAB Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics","Primary thru Advanced training. Critiquing. Coaching.  All instructors have competition experience. Formation training program. Checkouts in owner\'s aircraft.  Instructors: Michael Goulian CFI, Matt Crane CFI, Rob Dumovic CFI","KLWM -- North Andover, MA",USA,"Mike Goulian: CFI, Matt Crane: CFI, Rob Dumovic: CFI"
17,Kraemer Aviation Services,21520 Blunt Road,,Germantown,MD,20876,Harry Kraemer,301-520-2109,240-631-9036,hkraemer@earthlink.net,www.flymall.org,Customer owned aircraft,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",Beginning aerobatics.  Confidence building program.  Ground instruction.,"KFDK -- Germantown, MD",USA,Harry Kraemer: MCFI
